"Code","Member","Position_on_Committee","Assignment_to_Committee","ModDate"
"AAN","Andrzejczak, Bob","C","P",1/10/2018 0:00:00
"AAN","Calabrese, Clinton",,"P",3/6/2018 0:00:00
"AAN","Dancer, Ronald S.",,"P",1/17/2018 0:00:00
"AAN","Houghtaling, Eric","V","P",1/10/2018 0:00:00
"AAN","Space, Parker",,"P",1/17/2018 0:00:00
"AAN","Taliaferro, Adam J.",,"P",1/10/2018 0:00:00
"AAP","Burzichelli, John J.","C","P",1/10/2018 0:00:00
"AAP","Conaway, Herb",,"P",1/10/2018 0:00:00
"AAP","DeAngelo, Wayne P.",,"P",1/10/2018 0:00:00
"AAP","McKeon, John F.",,"R",3/6/2018 0:00:00
"AAP","Mosquera, Gabriela M.",,"P",1/10/2018 0:00:00
"AAP","Peters, Ryan E.",,"P",1/17/2018 0:00:00
"AAP","Pintor Marin, Eliana",,"P",3/6/2018 0:00:00
"AAP","Rooney, Kevin J.",,"P",1/17/2018 0:00:00
"AAP","Schaer, Gary S.","V","P",1/10/2018 0:00:00
"AAP","Tucker, Cleopatra G.",,"P",1/10/2018 0:00:00
"AAP","Webber, Jay",,"P",1/17/2018 0:00:00
"AAP","Wirths, Harold J.",,"P",1/17/2018 0:00:00
"ABU","Benson, Daniel R.",,"P",1/10/2018 0:00:00
"ABU","Burzichelli, John J.","V","P",1/10/2018 0:00:00
"ABU","Clifton, Robert D.",,"P",1/17/2018 0:00:00
"ABU","DiMaio, John",,"P",1/17/2018 0:00:00
"ABU","Johnson, Gordon M.",,"P",1/10/2018 0:00:00
"ABU","Jones, Patricia Egan",,"P",1/10/2018 0:00:00
"ABU","McKeon, John F.",,"P",3/6/2018 0:00:00
"ABU","Mukherji, Raj",,"P",1/10/2018 0:00:00
"ABU","Munoz, Nancy F.",,"P",1/17/2018 0:00:00
"ABU","Murphy, Carol A.",,"P",1/10/2018 0:00:00
"ABU","Pintor Marin, Eliana","C","P",1/10/2018 0:00:00
"ABU","Thomson, Edward H.",,"P",1/17/2018 0:00:00
"ABU","Wimberly, Benjie E.",,"P",1/10/2018 0:00:00
"ACE","Armato, John",,"P",1/10/2018 0:00:00
"ACE","Auth, Robert",,"P",1/17/2018 0:00:00
"ACE","Bucco, Anthony M.",,"P",1/17/2018 0:00:00
"ACE","Calabrese, Clinton",,"P",3/6/2018 0:00:00
"ACE","Chiaravalloti, Nicholas",,"P",1/10/2018 0:00:00
"ACE","DiMaio, John",,"P",1/17/2018 0:00:00
"ACE","Freiman, Roy",,"P",1/10/2018 0:00:00
"ACE","Johnson, Gordon M.","C","P",1/10/2018 0:00:00
"ACE","Karabinchak, Robert J.","V","P",1/10/2018 0:00:00
"ACE","Kennedy, James J.",,"P",1/10/2018 0:00:00
"ACE","Pintor Marin, Eliana",,"R",3/6/2018 0:00:00
"ACE","Space, Parker",,"P",1/17/2018 0:00:00
"ACE","Tully, P. Christopher",,"P",5/29/2018 0:00:00
"ACO","Chaparro, Annette",,"P",1/10/2018 0:00:00
"ACO","Kean, Sean T.",,"P",1/17/2018 0:00:00
"ACO","Mejia, Pedro",,"P",5/30/2018 0:00:00
"ACO","Moriarty, Paul D.","C","P",1/10/2018 0:00:00
"ACO","Mukherji, Raj",,"R",5/30/2018 0:00:00
"ACO","Reynolds-Jackson, Verlina",,"P",3/6/2018 0:00:00
"ACO","Rooney, Kevin J.",,"P",1/17/2018 0:00:00
"AED","Caputo, Ralph R.",,"P",1/10/2018 0:00:00
