"Roster Key","Last_Name","First_Name","Middle_Name","Suffix","Legislator","DOB","Education","PublicService","LegService","Occupation","MilitaryService","URLPicture","PictureText"
319,"Coughlin","Craig","J.",,"Coughlin, Craig J.","January 31, 1958","B.S. St. John’s University<br>J.D. St. John’s University School of Law","Township of Edison Municipal Court Judge 2005-2009; South Amboy Council 1987-1993; South Amboy Board of Education 1983-1987","General Assembly 2010-present, Speaker 2018-present, Parliamentarian 2016-2017, Deputy Parliamentarian 2014-16","Attorney, Private Practice",,"http://www.njleg.state.nj.us/members/memberphotos/coughlin_craig_2017.jpg","Assemblyman  Craig  J. Coughlin (D)"
371,"Cruz-Perez","Nilsa",,,"Cruz-Perez, Nilsa"," January 21, 1961","University of Puerto Rico (Political Science)<br>University of Maryland","N.J. State Democratic Committee 2015-present, Vice-Chair; Rutgers-Camden Board of Directors 2014-present; N.J. Legislative Apportionment Commission 2010-11, Democratic Vice-Chair; N.J. Congressional Reapportionment Commission 2011-12","Senate 2014-present; General Assembly 1995-2010, Deputy Majority Leader 2008-10, Assistant Majority Leader 2002-08","Director of Constituent Services, Camden County","U.S. Army 1981-87","http://www.njleg.state.nj.us/members/memberphotos/cruzperez_color.jpg","Senator Nilsa Cruz-Perez (D)"
406,"Cryan","Joseph","P.",,"Cryan, Joseph P.","September 1, 1961","B.A. Belmont Abbey College (Business Administration)","N.J. Democratic State Committee, Chair 2006-10, Vice Chair 2001-05","Senate 2018-present; General Assembly 2002-14; Majority Leader 2010-12","Undersheriff, Union County Sheriff’s Office",,"http://www.njleg.state.nj.us/members/memberphotos/cryan_joseph_2017.jpg","Senator Joseph Cryan (D)"
290,"Cunningham","Sandra","B.",,"Cunningham, Sandra B.","September 4, 1950","B.A. Bloomfield College (Liberal Arts)",,"Senate 2007-present, Deputy Majority Leader 2018-present, Majority Whip 2008-2017","Administrator, Sandra and Glenn D. Cunningham Foundation",,"http://www.njleg.state.nj.us/members/memberphotos/cunningham_color.jpg","Senator Sandra B. Cunningham (D)"
352,"Dancer","Ronald","S.",,"Dancer, Ronald S.","May 31, 1949","Peddie School<br> 
Edward J. Bloustein School of Planning and Public Policy at Rutgers University (Elected Officials Certificate Program)","Plumsted Township, Mayor 1990-2011, Planning Board 1983-present, Honorary  Business Administrator 2012-present, Municipal Utilities Authority 2012-present; Ocean County, Board of Social Services Chair 1997-present, Natural Lands Trust Fund Advisory Committee 1998-present, Senior Citizens Advisory Board 2002-present, Human Services Advisory Council, 2012-present","General Assembly 2002-present; Deputy Republican Leader 2018-present","Legislator","U.S. Army 1969-71","http://www.njleg.state.nj.us/members/memberphotos/dancer_color.jpg","Assemblyman Ronald S. Dancer (R)"
370,"Danielsen","Joe",,,"Danielsen, Joe",,"A.S. Middlesex County College (Marketing, Art and Design)<br>B.A. Rutgers University (Visual Arts)","Township of Franklin Planning Board 1997-2010; Franklin Township Commissioner of Fire District No. 1 Board 2000-06","General Assembly 2014-present","Owner, Network Blade L.L.C.","Army Reserves","http://www.njleg.state.nj.us/members/memberphotos/danielsen_color.jpg","Assemblyman Joe Danielsen (D)"
279,"DeAngelo","Wayne","P.",,"DeAngelo, Wayne P.","November 5, 1965","Steinert High School<br>Rupert John Trade School (Electrical)","N.J. Council on Armed Forces and Veterans Affairs 2012-present; Hamilton Township Planning Board 2006-07, Council 2002-05, Zoning Board 2000-01","General Assembly 2008-present, Deputy Speaker 2015-present, Deputy Speaker Pro Tempore 2010-15","President/Assistant Business Manager at IBEW",,"http://www.njleg.state.nj.us/members/memberphotos/deangelo_color.jpg","Assemblyman Wayne P. DeAngelo (D)"
355,"DeCroce","BettyLou",,,"DeCroce, BettyLou",,"Berkeley College (Business)<br>Rutgers University (Government)","N.J. Department of Community Affairs Deputy Commissioner 2010-12; Township of Parsippany-Troy Hills Board of Adjustment 2000-10; North Jersey Health Insurance Fund Commissioner 1999-2010; Morris County Joint Insurance Fund 1999-2010, Chair 2008-10; Township of Roxbury, Municipal Clerk 1988-2010, Deputy Manager 1991-2002, Planning Board 1984-87; Morris County Sheriff's Office, Administration 1984-86; Township of Mine Hill Council 1981-83","General Assembly 2012-present; Assistant Republican Leader 2018-present","Owner, ERA Gallo & DeCroce Realtors, Inc.",,"http://www.njleg.state.nj.us/members/memberphotos/decroce_betty_lou_color.jpg","Assemblywoman Betty Lou DeCroce (R)"
404,"DePhillips","Christopher","P.",,"DePhillips, Christopher P.","March 30, 1965","B.A. Georgetown University (Government)<br>J.D. Seton Hall University School of Law","Northwest Bergen County Utilities Authority Commissioner 2012-17; Township of Wyckoff  Township Committee 2010-13, Mayor 2012","General Assembly 2018-present","Vice President and General Counsel, Porzio Life Sciences, LLC",,"http://www.njleg.state.nj.us/members/memberphotos/dephillips_christopher_2017.jpg","Christopher P. DePhillips (R)"
313,"DiMaio","John",,,"DiMaio, John","November 27, 1955",,"State House Commission, 2017-present, Warren County Board of Freeholders 2000-09, Director 2008, 2001; Town of Hackettstown, Mayor 1991-99, Councilman 1980-1990","General Assembly 2009-present; Budget Officer 2018-present; Appropriations Officer 2012-2017","President, A. DiMaio and Son, Inc., General Contractors",,"http://www.njleg.state.nj.us/members/memberphotos/dimaio_john_2017.jpg","Assemblyman John DiMaio (R)"
399,"DiMaso","Serena",,,"DiMaso, Serena","May 17, 1963","B.A. St. John’s University School of Business (Management, Economics)<br>J.D. St. John’s University School of Law","Monmouth County Board of Chosen Freeholders 2012-17; Holmdel Township Committee 2002-12, Mayor 2006-10","General Assembly 2018-present","Legislator",,"http://www.njleg.state.nj.us/members/memberphotos/dimaso_serena_2017.jpg","Assemblywoman Serena DiMaso Esq. (R)"
387,"Diegnan","Patrick","J.","Jr.","Diegnan, Patrick J.","March 19, 1949","B.A. Seton Hall University (Political Science/Government)<br>
J.D. Seton Hall University School of Law",,"Senate 2016-present; General Assembly 2002-16, Deputy Speaker 2008-16, Parliamentarian 2006-16","Attorney",,"http://www.njleg.state.nj.us/members/memberphotos/diegnan_2017.jpg","Senator Patrick J. Diegnan, Jr. (D)"
206,"Doherty","Michael","J.",,"Doherty, Michael J.","May 24, 1963","B.S. United States Military Academy at West Point<br>
J.D. Seton Hall University School of Law","Warren County Board of Freeholders, Director 2002-03, Deputy Director 2001","Senate 2009-present; General Assembly 2002-09","Patent Attorney, Doherty IP Law Group LLC","U.S. Army 1985-89,  U.S. Army Reserve 1989-93, Captain","http://www.njleg.state.nj.us/members/memberphotos/doherty_color.jpg","Senator Michael J. Doherty (R)"
380,"Downey","Joann",,,"Downey, Joann","October 31, 1966","B.A. Rutgers University (Political Science/English)<br>M.S.W. Boston University School of Social Work<br>J.D. New York Law School",,"General Assembly 2016-present; Parliamentarian 2018-present","Trial Attorney, Dimian & Masterpalo",,"http://www.njleg.state.nj.us/members/memberphotos/downey_color.jpg","Assemblywoman Joann Downey (D)"
201,"Egan","Joseph","V.",,"Egan, Joseph V.","February 27, 1938",,"City of New Brunswick Council 1982-2010","General Assembly 2002-present, Deputy Majority Leader 2008-present","Business Manager, I.B.E.W. Local Union No. 456",,"http://www.njleg.state.nj.us/members/memberphotos/egan_color.jpg","Assemblyman Joseph V. Egan (D)"
369,"Eustace","Tim",,,"Eustace, Tim","December 27, 1956","B.S. Ramapo College of N.J. (Psychology)<br>Doctor of Chiropractor, Pennsylvania College of Straight Chiropractic","Borough of Maywood Mayor 2008-12, Council 1995-97 and 2001-08, Council President 2005-08","General Assembly 2012-present, Deputy Conference Leader 2014-present","Chiropractor, Family Chiropractic Center",,"http://www.njleg.state.nj.us/members/memberphotos/eustace_color.jpg","Assemblyman Tim Eustace (D)"
400,"Freiman","Roy",,,"Freiman, Roy","April 30, 1959","B.S. State University of New York at Oneonta (Business Economics)<br>
Chartered Life Underwriter and Chartered Financial Consultant, American College of Financial Services","Hillsborough Township Sustainability Committee 2017","General Assembly 2018-present","Legislator",,"http://www.njleg.state.nj.us/members/memberphotos/freiman_roy_2017.jpg","Assemblyman Roy Freiman (D)"
257,"Giblin","Thomas","P.",,"Giblin, Thomas P.","January 15, 1947","B.A. Seton Hall University (Political Science)<br>
Seton Hall University and Rutgers University (Post-Graduate Studies)","N.J. Democratic State Committee 1997-2001, Chair; Essex County Surrogate 1990-93; Essex County  Board of Freeholders 1982-90, 1977-78; N.J. Real Estate Commission 1979-82","General Assembly 2006-present, Deputy Majority Leader 2008-present","Labor Union Officer, Local 68 Operating Engineers","N.J. Air National Guard 1966-72, Staff Sergeant","http://www.njleg.state.nj.us/members/memberphotos/giblin_color.jpg","Assemblyman Thomas P. Giblin (D)"
126,"Gill","Nia","H.","Esq.","Gill, Nia H.","March 15, 1948","B.A. Upsala College (History/Political History)<br>J.D. Rutgers School of Law",,"Senate 2002-present, Senate President Pro Tempore 2010-2017; General Assembly 1994-2001, Minority Whip 1996-2001","Attorney",,"http://www.njleg.state.nj.us/members/memberphotos/gill_color.jpg","Senator Nia H. Gill (D)"
405,"Gopal","Vin",,,"Gopal, Vin","May 18, 1985","B.A. Penn State University",,"Senate 2018-present, Majority Conference Leader, 2018-Present","Owner and Operator, Direct Development LLC and Community Magazine",,"http://www.njleg.state.nj.us/members/memberphotos/gopal_vin_2017.jpg","Senator Vin Gopal (D)"
307,"Gordon","Robert","M.",,"Gordon, Robert M.","July 3, 1950","B.A. Williams College (Political Economy)<br>
M.P.P. University of California at Berkeley (Public Policy)<br>
M.B.A. Wharton School of the University of Pennsylvania (Finance and Health Care Management)","N.J. Red Tape Review Commission 2015-present;
Fair Lawn Ethics Board 1999-2003, Chair; N.J. Democratic State Committee 1993-98; Democratic National Convention Delegate 2012, 2008, 1992, 1988; Fair Lawn Borough Council 1986-95, Planning Board 1986-95, Mayor 1988-91; Fair Lawn Fire Commissioner 1986-95; N.J. Office of the Governor 1990-91, Aide; U.S. Congressional Budget Office 1975-77, Analyst","Senate 2008-present, Democratic Conference Chair 2018-present, Majority Conference Leader 2012-2017; <br>General Assembly 2004-07","Senior Vice President, Avison Young",,"http://www.njleg.state.nj.us/members/memberphotos/gordon_color.jpg","Senator Robert M. Gordon (D)"
318,"Gove","DiAnne","C.",,"Gove, DiAnne C.","February 15, 1951","B.A. Cabrini College (Social Science)<br>M.A. Monmouth University (Social Science)","Long Beach Township, Commissioner 2008-09, 2003-04, 1984-88, Mayor 2004-08; Ocean County Advisory Commission on the Status of Women, 1986-98","General Assembly 2009-present, Policy Co-Chair 2014-present","Legislator",,"http://www.njleg.state.nj.us/members/memberphotos/gove_color.jpg","Assemblywoman DiAnne Gove (R)"
