"District","House","LastName","Firstname","MidName","Suffix","Sex","Title","LegPos","LegStatus","Party","Race","Address","City","State","Zipcode","Phone","Email","Roster Key"
1,"S","Van Drew","Jeff",,,"M",,,"Active","D",,"School House Office Park, 211 S. Main St., Suite 104","Cape May Court House","NJ","08210","(609) 465-0700",,299
1,"A","Andrzejczak","Bob",,,"M",,,"Active","D",,"School House Office Park, 211 S. Main St., Suite 104","Cape May Court House","NJ","08210","(609) 465-0700",,357
1,"A","Land","R.","Bruce",,"M",,,"Active","D",,"1117 E. Landis Avenue","Vineland","NJ","08360","(856) 696-7109",,382
2,"S","Brown","Chris","A.",,"M",,"Deputy Conference Leader","Active","R",,"2021 New Rd., Suite 24","Linwood","NJ","08221","(609) 677-8266",,393
2,"A","Armato","John",,,"M",,,"Active","D",,"2312 New Road, Suite 101","Northfield","NJ","08225","(609) 382-5421",,396
2,"A","Mazzeo","Vincent",,,"M",,,"Active","D",,"2312 New Road, Suite 102","Northfield","NJ","08225","(609) 383-1388",,368
3,"S","Sweeney","Stephen","M.",,"M",,"Senate President","Active","D",,"935 Kings Highway, Suite 400","West Deptford","NJ","08086","(856) 251-9801",,216
3,"A","Burzichelli","John","J.",,"M",,"Deputy Speaker / Appropriation","Active","D",,"935 Kings Highway, Suite 400","West Deptford","NJ","08086","(856) 251-9801",,200
3,"A","Taliaferro","Adam","J.",,"M",,"Deputy Majority Leader","Active","D",,"199 East Broadway, 1st Floor, Suite G","Salem","NJ","08079","(856) 339-0808",,372
4,"S","Madden","Fred","H.","Jr.","M",,,"Active","D",,"129 Johnson Road, Suite 1","Turnersville","NJ","08012","(856) 232-6700",,230
4,"A","Moriarty","Paul","D.",,"M",,"Deputy Speaker","Active","D",,"129 Johnson Road, Suite 1","Turnersville","NJ","08012","(856) 232-6700",,250
4,"A","Mosquera","Gabriela","M.",,"F",,,"Active","D",,"129 Johnson Road, Suite 1","Turnersville","NJ","08012","(856) 232-6700",,356
5,"S","Cruz-Perez","Nilsa",,,"F",,,"Active","D",,"231 Market Street","Camden","NJ","08102","(856) 541-1251",,371
5,"A","Jones","Patricia","Egan",,"F",,,"Active","D",,"515 White Horse Pike","Audubon","NJ","08106","(856) 547-4800",,375
5,"A","Barclay","Arthur",,,"M",,"Deputy Whip","Resigned","D",,"515 White Horse Pike","Audubon","NJ","08106","(856) 547-4800",,377
5,"A","Spearman","William","W.",,"M",,,"Active","D",,"515 White Horse Pike","Audubon","NJ","08106","(856) 547-4800",,415
